,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
319,Daily Observations,A0057489230,"1/25/2025 Barrier Reactivity, when told down does display all four on the floor but goes back to BR quickly",Staff Observation,1/25/2025,09:31 AM
320,Daily Observations,A0057257626,"1/26/2025 Barrier reactive, whale eye, ok body language, some curiosity in sniffing me",Staff Observation,1/26/2025,10:34 AM
321,Intake,A0056545695,1/26/2025 easily handled,Staff Observation,1/26/2025,02:11 PM
322,Daily Observations,A0057609567,"1/28/2025 Salivating and barking so much he is foaming at the mouth. Very tight and visibly distressed stress panting, wide/blood shot eyes. Jumping obsessively on the walls in the corner of the kennel. Will approach the gate briefly before returning to jumping into the corner of the wall and barking. High FAS/OA observed. ",Staff Observation,1/28/2025,11:09 AM
323,Daily Observations,A0057301164,1/28/2025 Hates being sick. Lots of frustration barking. Needs a break!,Staff Observation,1/28/2025,06:28 PM
324,Intake,A0057749805,1/30/2025 easily handled while in intake and during exam,Staff Observation,1/30/2025,02:55 PM
325,Intake,A0057747654,"1/31/2025 easily handledhigh energy, constantly jumping/whining, can be a bit mouthy, muzzled for precautionconstant jumpinghyperactive",Staff Observation,1/31/2025,12:49 PM
326,Write Up,A0056096120,"2/1/2025 I was attempting to leash Kumar from the intake kennel to move him to the floor. but he had leashes hanging off of his harness that community support was unable to retrieve due to behavior. I was able to leash him & bring him to the exam room to remove the harness, but as I slowly reached to unbuckle it, he attempted to bite. I stepped back & gave him a minute then I was able to remove it. Then as I attempted to leash him again he snarled & snapped. I then had to catchpole him & he was moved to 200. ",Staff Observation,2/1/2025,09:54 AM
327,Focus Group,A0056311137,"2/2/2025 Very wiggly at the gate. Easily leashed and retrieved. Easy on leash. Most likely potty trained. Happily accepted all the affection/pets from multiple kennel workers. Loves being in the office. Toss treats, will chomp. Treat motivated. Knows ""sit"". Enjoys toys and lounging around. Grunts when she's happy, eating, and playing. Does not react walking past other dogs in the kennel. Easily re-kenneled/unleashed. ",Staff Observation,2/2/2025,09:25 AM
328,Daily Observations,A0057747654,"2/2/2025 Approached kennel, she low growled, hackles went up. Opened kennel door and she slowly approached me, licked hand, slow wag of the tail and then backed away. Level to SF",Staff Observation,2/2/2025,09:34 AM
329,Focus Group,A0056096120,"2/2/2025 Shaking in his kennel, quickly became very excited to see me. Sat and easily allowed me to leash him. No problems unclipping his harness, not big fan of taking it off his head, done without issue. Big puppy energy and a bit jumpy/ mouthy at times, will calm down and take treats gently. Enjoys affection. Likes toys, no resource guarding seen. Easily re-kenneled and unleashed without issues. ",Staff Observation,2/2/2025,10:41 AM
330,Intake,A0053617955,2/2/2025 easily handled in the kennel and during the intake exam. High energy,Staff Observation,2/2/2025,01:34 PM
331,Intake,A0057774743,2/2/2025 easily handled in the kennel and during the intake exam. Doesn't like needles. ,Staff Observation,2/2/2025,04:15 PM
332,General Information,A0057489230,"2/2/2025 when cleaning the kennel next to hers, she jumped up on the wall and displayed loose body language. i initiated play through the kennel and was reciprocated by her. takes treats nicely through the kennel door. allowed muzzle pets through bars. ",Staff Observation,2/2/2025,10:05 PM
333,Daily Observations,A0057301164,2/3/2025 He's been bouncing around a ton. His paws are a bit raw and starting to bleed. Loosing his marbles during quarantine. ,Staff Observation,2/3/2025,12:42 PM
334,Write Up,A0057252718,"2/3/2025 Began todays interaction by letting her use the bathroom and wear some energy out. I then walked her through featured and the flex cells to assess body language and responsiveness to correction. In front of the flex door of Sarge and Marco, while they jumped and barked at the door, her shoulder hackles raised and she began to growl and bark, ears back and tail stiff/straight behind her. We took a moment to decompress down the hall before coming back. She kept her attention on me this time and sat with ears forward and a broad-sweeping tail while Sarge and Marco continued to bark. She did not display any of the tense body language/growling when passing by kennels of dogs who did not bark at her. She listened to correction, ""No ma'am. Sit."" when I intervened as she began to put her ears back and pull at the leash, before she got to the point of growling, and she would hold the sit and keep her focus on me, ears forward and broad wags, as they continued to bark. She did not redirect to me when I corrected her at any point.",Staff Observation,2/3/2025,02:34 PM
335,Write Up,A0057161815,"2/3/2025 Moved Bellini for a swap. Bellini was confident and excited at the kennel. Slightly too fast for me to leash properly but once on the leash he remained confident as he was moved. Leveling to L1, no longer displaying timid/SF behaviors.",Staff Observation,2/3/2025,02:46 PM
336,Intake,A0057776766,"2/3/2025 Very nervous and unsure, Very scared but sweet easily handled in the kennel and during the intake exam. Muzzled out of precaution",Staff Observation,2/3/2025,05:37 PM
337,Write Up,A0057303592,"2/3/2025 Increasing OA behavior tendencies. Scratching on my pants, mouthy on my forearms, difficult to leash, difficult to redirect.",In Shelter Volunteer Observation,2/3/2025,05:52 PM
338,Write Up,A0057303592,2/4/2025 Had to move to an in/outdoor run. Was trying to lift the guillotine.,Staff Observation,2/4/2025,01:03 PM
339,Focus Group,A0057489230,"2/4/2025 BR, takes treats gently. Very stressed, red eyes. No issues leashing and retrieving. Enjoyed zoomies in the play yard. Leans in and accepting of pets all over. Dog friendly, will need slow proper intros, under socialized-rough and rowdy. Pacing and panting in the office, eventually settling in a sploot. Knows ""sit"". No issues re-kenneling. ",Staff Observation,2/4/2025,01:19 PM
340,Intake,A0057782104,2/4/2025 nervous in the kennel otherwise easily handled while in intake easily handled opened up once in the exam room during exam,Staff Observation,2/4/2025,01:21 PM
341,Focus Group,A0057500056,"2/4/2025 A little shy, opens up quickly and is very affectionate, super cuddler. SF with strangers. Treat motivated. Playful. Very dog friendly, wiggly, picks up on cues from other dogs. No issues re-kenneling. ",Staff Observation,2/4/2025,05:22 PM
342,Intake,A0057072729,2/5/2025 easily handled,Staff Observation,2/5/2025,05:27 PM
343,Intake,A0057801258,2/6/2025 easily handled while in intake and during exam ,Staff Observation,2/6/2025,05:51 PM
344,Intake,A0057809416,2/7/2025 easily handled ,Staff Observation,2/7/2025,05:06 PM
345,Intake,A0057806990,2/7/2025 easily handled,Staff Observation,2/7/2025,06:42 PM
346,Intake,A0057813433,"2/8/2025 doesn't walk on leash very well. shy & very nervous. during exam, he was very sweet & easily handled. just scaredurination from fear",Staff Observation,2/8/2025,05:47 PM
347,Intake,A0057820720,"2/10/2025 very nervous, shaking but otherwise easily handledeasily handled in exam roomsigns of stress/feartense muscleshiding",Staff Observation,2/10/2025,01:21 PM
348,Daily Observations,A0057782104,2/11/2025 Declining QOL,Staff Observation,2/11/2025,12:35 PM
349,Intake,A0057821053,"2/11/2025 growling, snarling, hiding in corner of kennelcatch-poled and partialed due to behaviorsigns of stress/feartense musclesfrozen/stuck in placehidinggrowlinghard staringlifting lip/showing teethwhale eye",Staff Observation,2/11/2025,02:49 PM
350,Focus Group,A0057512818,"2/11/2025 Met another pup through the fence with loose body language.  Brought into the play yard with another pup, was a bit stiff but loosened up a bit and attempted mounting several times.  Needs Neuter, Rec MG",Staff Observation,2/11/2025,07:45 PM
351,Intake,A0057824667,2/12/2025 needs encouragement to walk. will take a few steps then pancakecompletely frozen and wouldnt move during exam but still easily handledsigns of stress/feartense musclesurination/defacationfrozen/stuck in place,Staff Observation,2/12/2025,05:38 PM
352,Intake,A0057820399,2/13/2025 easily handled while in intake and during exam,Staff Observation,2/13/2025,04:58 PM
353,Intake,A0057324738,2/14/2025 easily handled while in intake and during exam ,Staff Observation,2/14/2025,01:47 PM
354,Write Up,A0057821053,"2/16/2025 interacted with him on 02/14. cautious when i approached, displayed a lowered head and low slow wagging tail but took treats as i tossed them into his kennel. when i attempted to offer treats from my hand he froze and growled.  while working in 200 today he displayed loose body language and stood at the front of his kennel soliciting attention. took treats from my hand. mari was able to leash him and place him in the courtyard without issue. he jumped up on her and allowed her to pet his face. once left in yard he began digging at the turf and trying to lift the gate latch. ashley then removed him from the yard and placed him back in his kennel without issue.  leveling down to L3-SF",Staff Observation,2/16/2025,09:21 PM
355,Write Up,A0056311146,"2/16/2025 when removing him from his kennel he wants something to carry (he initially took my leash but i was able to replace it with a stuffed toy easily) and then walks well on leash while holding the toy in his mouth. got him to engage in a game of tug of war, he is very gentle and was only slightly pulling on the toy. as the toy was held in the air for him to grab, he would follow it but then appeared to lose sight of it despite it being in front of his face? today he was given a bath and as he walked to the salon he jumped up to solicit attention from shelby. he nibbled at her hands thinking she had a treat. he did very well tolerating the bath. had a buildup of poop on his chest, was tolerant as i picked it off. plando (having never met libra before) roughly towel dried him and picked him up from the tub, libra continued to wag his tail the entire time. once back in his kennel he immediately began jumping non stop. i offered him a few different toys and he would go back and forth between the toys.  removing SF from his level. ",Staff Observation,2/16/2025,10:13 PM
356,Write Up,A0057824667,"2/16/2025 will not walk. kennel staff had to carry him from the exterior portion of his kennel to the interior portion. was tolerant of being carried, staff then lifted his front legs so i could look at his stomach and he allowed me to manipulate his foot to look at his dew claws. ",Staff Observation,2/16/2025,10:30 PM
357,Daily Observations,A0057821053,"2/17/2025 Interaction through kennel door. Stood up and stepped towards door with soft face, ears alert, and soft/inquisitive eyes. He sniffed my hand a few times. I stepped back to write a note and did demand bark while pawing once at kennel grate. Loose body, slow loose tail wag",Staff Observation,2/17/2025,10:22 AM
358,Write Up,A0057821053,"2/17/2025 Past days I have offered treats, which he took gently. Yesterday 2/16, I was able to leash him without using treats as motivation and successfully walked him into the courtyard. While in the courtyard, he jumped up on me and I was able to pet him. I was able to redirect him back onto the ground to which he gave no reaction.  After removing the leash, he performed a play bow. Staff reported that during his  time outside,  he began digging at the turf. He was leashed and re-kenneled without issue. Based on progress staying at an L3 SF.",Staff Observation,2/17/2025,01:11 PM
359,Daily Observations,A0057747654,2/17/2025 possible fear biter  ,Staff Observation,2/17/2025,03:14 PM
360,Daily Observations,A0057512818,2/17/2025 Very BR. Showing teeth. Slamming into door.,Staff Observation,2/17/2025,03:25 PM
361,Write Up,A0057072729,2/17/2025 Right out of the kennel he started jumping up biting onto the leash getting close to hands. Once outside he began jumping on me and potential adopters being very mouthy with them. He kept persisting to a point that I could feel a lot of pressure in his mouthiness and his quick bites causing bruising. He multiple times grabbed my sleeve and shook his head around like dogs do with toys. It reached a point that I began to get worried he wouldn't stop and was going to break skin. ,Staff Observation,2/17/2025,06:32 PM
362,Write Up,A0057324738,2/18/2025 Multiple volunteers tried to get out of his kennel- he barked and backed up. Wouldn’t let you even open the kennel door to leash him. Recommending L2 SD L2-SD,In Shelter Volunteer Observation,2/18/2025,10:47 AM
363,Focus Group,A0057821053,"2/18/2025 Leashed without issue. Nervous of loud noises out in the play yard. Settled after several minutes becoming playful and affectionate. Very smart, knows paw and sit and can alternate paws. Loose and wiggly when Simba entered the play yard, play bowing. Both dogs enjoyed playing and were respectful of space. ",Staff Observation,2/18/2025,12:05 PM
364,Focus Group,A0057747654,"2/18/2025 unable to focus group, in foster home-------possible fear biter  ",Staff Observation,2/18/2025,03:14 PM
365,Intake,A0057873243,"2/19/2025 Easily handled in intake and had to be netted for exam because of hissing, biting",Staff Observation,2/19/2025,02:41 PM
366,Intake,A0057867271,2/19/2025 easily handled. muzzled for precaution,Staff Observation,2/19/2025,04:05 PM
367,Intake,A0057877022,2/19/2025 Easily handled both in the kennel and during the exam. Very sweet girl!!,Staff Observation,2/19/2025,06:03 PM
368,Intake,A0057885171,"2/21/2025 Hackles raised when being leashed from kennel with low tail wags. Go VERY slow, extremely nervous/unsure, showing signs of stress/fear, startles easily, tense muscles.Once in exam room she opened up a bit with treats but snatches them quickly so be cautious giving treats. She was trembling with hackles raised but still with low tail wags. We were able to place a muzzle on to complete vaccines, but she started to become extremely aggressive with the muzzle on & was muzzle punching my legs attempting to bite. She was then placed in 200 as Staff Only as precaution. May improve over time.  ",Staff Observation,2/21/2025,04:22 PM
369,Focus Group,A0053293515,"2/21/2025 Older, low energy, treat motivated, solicits for attention, loves his Kuranda bed",Staff Observation,2/21/2025,05:27 PM
370,Daily Observations,A0057877022,"2/23/2025 Interacted through outdoor kennel. Was at the front of the kennel, soft squinty eyes. Sniffed my hand, had a loose body with soft middle wags and stood on the kennel door. ",Staff Observation,2/23/2025,09:38 AM
371,Daily Observations,A0057806990,"2/25/2025 Extreme kennel stress. Pacing the kennel back and forth, trying to climb the walls and trying to fight neighbor through the glass. ",Staff Observation,2/25/2025,08:58 AM
372,Daily Observations,A0057656410,2/25/2025 Extreme kennel stress-- painting kennel every morning.,Staff Observation,2/25/2025,09:00 AM
373,Intake,A0057901651,2/25/2025 easily handled while in intake and during exam,Staff Observation,2/25/2025,11:59 AM
374,Focus Group,A0057885171,"2/25/2025 Easily handled. Go slow, Shy/fearful. Solicits lots of attention/affection. Very sweet girl. ",Staff Observation,2/25/2025,04:01 PM
375,Focus Group,A0057867271,"2/25/2025 No BR seen. Easy in and out of her kennel. Did well meeting Lil Koozie in the play yard, but eventually got over aroused and wanted to mount him. Spay and re-test.",Staff Observation,2/25/2025,04:02 PM
376,Intake,A0057910867,2/26/2025 A little shy in kennel. Low tail wags and slowly walked out. Was very friendly and easily handled in the exam room. ,Staff Observation,2/26/2025,01:05 PM
377,Intake,A0057918810,"2/28/2025 Frozen in kennel, hard staring, showing signs of stress/fear, growling, tense muscles, whale eye. Cannot be handled.Partial intake completed on catchpole due to behavior. ",Staff Observation,2/28/2025,01:36 PM
378,Write Up,A0057442724,"2/28/2025 Observed Keving LB and kennel tech dropped the leash, Kevin took off running as soon as handler tried to leash Kevin would bite the leash.  Was able to assist with re-kenneling using treats.  Poop painting in kennel RE: L2-OA/LB",Staff Observation,2/28/2025,03:52 PM
379,Write Up,A0057656410,"3/1/2025 kennel staff attempted to remove her from her kennel and stated that magenta busted out and immediately attempted to bite her arm. i approached to leash and when shown the leash in her kennel she did not react. leashed with ease but once out of her kennel she jumped up and bit my arm (no puncture or bruising). i offered a leash correction and she did not attempt again. walked her outside without issue and was able to be in yard and interact with her in a separate courtyard before bringing her to playgroup.  leveling up to L2-JM, behavior can quickly be deterred but needs consistent kennel routine. will be adding to playgroup as often as possible. ",Staff Observation,3/1/2025,09:57 AM
380,Intake,A0057938358,3/1/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,3/1/2025,02:18 PM
381,Write Up,A0057776766,"3/2/2025 low energy and quiet in kennel. when approached he maintains neutral body language, takes treats (snappily) and wags his tail when spoken to. ",Staff Observation,3/2/2025,11:55 AM
382,Intake,A0057942396,3/2/2025 Easily handled both in the kennel and during the exam.,Staff Observation,3/2/2025,01:08 PM
383,Intake,A0057945065,3/3/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,3/3/2025,01:14 PM
384,Intake,A0057471755,3/3/2025 Easily handled in intake and exam,Staff Observation,3/3/2025,05:09 PM
385,Daily Observations,A0057442724,3/4/2025 Very Kennel stressed! Poop painting daily,Staff Observation,3/4/2025,08:47 AM
386,Intake,A0057949305,"3/4/2025 Nervous in the kennel because of all of the barking, but once out he opened up and was easily handled. Was easily handled during the exam.",Staff Observation,3/4/2025,10:49 AM
387,Intake,A0057949234,"3/4/2025 A little nervous in the kennel, but if you move slowly, she is easily handled. A bit growly towards men but still easily handled. Warmed up by the end of the exam.",Staff Observation,3/4/2025,11:01 AM
388,Intake,A0057949256,3/4/2025 Easily handled both in the kennel and during the exam.,Staff Observation,3/4/2025,11:08 AM
389,General Information,A0057442724,3/4/2025 Took Kevin out to play in the barn! He enjoyed playing with the herding ball and chewing on stuffies. Kevin absolutely loves stuffies and will just hang out with one in his mouth. After some time running around he sat down under the gazebo and cuddled with the stuffies. His energy completely shifted from in the kennel to being able to be outside and he stopped exhibiting any signs of stress! He loves being patted on his booty and will always accept pets and treats. ,Staff Observation,3/4/2025,01:14 PM
390,Intake,A0057949368,3/4/2025 scared and snapped when leashed once outside of the kennel he did fine while in intake signs of stress/fear easily handled during exam ,Staff Observation,3/4/2025,01:15 PM
391,Intake,A0057949290,3/4/2025 easily handled while in intake and during exam,Staff Observation,3/4/2025,01:38 PM
392,Intake,A0057949359,3/4/2025 may be BR barks at gate was housed with Darla and may have been feeding off each other alarm barking while in intake needed a while to warm up in exam room muzzled for precaution does not like restraint signs of stress/fear tense muscles frigid whale eye during exam,Staff Observation,3/4/2025,01:53 PM
393,Intake,A0057949341,3/4/2025 easily handled while in intake and during exam,Staff Observation,3/4/2025,02:16 PM
394,Intake,A0057949322,3/4/2025 easily handled while in intake and during exam,Staff Observation,3/4/2025,02:29 PM
395,Phone Consult,A0057510470,"3/4/2025 Google doc:https://docs.google.com/document/d/12VRZbec5PdplO1XKaDgVG3t8xgSpf__i1z994XBE-vg/edit?usp=sharingPrimary Presenting Issues:Separation AnxietyReactivity to other dogsReactivity to strange menBackground/History:Two year old, 56 lbs, spayed maleTrazodone 100mg 2 tablets, once ever 12 hrs. Theo has been with Nelly for two monthsAverage of 4-5 hrs home alone (without human companionship)Knows sit, lay down, stay, waitTheo seems to do better with strange males in his own house compared to other environments. Nelly described some interactions with other dogs but it’s hard for me to tell if Theo was being playful or aggressive without video of it. For the moment I have asked Nelly to stop dog-to-dog interactions until Theo has some more skills and feels more confident. I am referring Nelly to Malena DeMartini website for separation anxiety help with a licenced professional. Primary Care Veterinarian: LifeLine Animal Shelter Veterinarian Food/Feeding Schedule: Daily Fresh 3 cups a day, 7am, 1pm, 7pm.Medical Issues:No known medical issuesExercise:Out for potty 5 times a day10-15 min walk three times a day30 min walk 1-2 times a dayFetch and walking around the yard 2-3 times a dayTraining:No known formal training historyEquipment:Body harness6 ft leashRecommendations:It is incredibly important to manage Theo’s environment so that he does not get a chance to rehearse the undesirable behaviors. If you see that he has already spotted an other dog approaching, move the other way to gain some distance from the other dog. It’s important to not prompt Theo to perform a cue that he is not ready to perform or has not practice under those circumstances. Remember, practice makes perfect. Practice all the suggested behaviors in different situations and environments where Theo is successful. Slowly practice outdoors as Theo’s confidence increases and starts to offer unprompted check-ins. Practice scenarios that you have experienced in the past without the distraction. Work on distance, distraction and duration as three separate levels of difficulty. See below a list of activities you can do to help Theo with his reactivity and also to meet strangers.Confidence:Sniffing GamesFind it! This is a great game to play encouraging your dog to find a treat (or toy if he has a favorite toy). Show your dog a treat or his favorite toy, and then place it out of his sight but easily accessible. Tell him to “Find it!”. Once he finds it praise enthusiastically. You can start to increase the difficulty of the game by turning off the lights, adding more treats, using boxes or even hiding treats in less conventional places like inside of a shoe. The rewards for the dog are multiple- he gets a treat or finds his toy plus a very happy handler. If issuing a toy, be sure to reward his find with some play before starting again. When multiple treats or toys are used, this particular game helps to build persistence and trust in the handler. The dog may initially find only 2 out of 3 treats, but he quickly discovers that persistence in searching when you give the “Find it!” cue pays off. He learns to believe you - there really is another one there! FreeworkIntroduction to FreeworkPlace snuffle mats and licky mats around an rea of your hours and load them with treats, yogurt, peanut butter, etc… Let your dog go in and explore the area while enjoying the amazing treats you set out for him. Don’t give him big pieces, this activity is more about the journey of finding the treats. Try using small crumbs so encourage more sniffing. You can also use your dog’s kibble for this. This game allows your dog to freely go in an area and explore. You can also do the same set-up outdoors to encourage him to sniff in situations where he might want to bark otherwise. Scatter FeedScatter Feeding Dogs: A Step-by-Step Guide To Our Favourite Calm Enrichment Activity!Why scatter feeding is beneficial for dogsScatter feeding provides a way for Theo to use his nose and calm down. You can use the same cue as “Find it!”. Do this in your back yard or even Sniffspots! Consent TestPetting Consent Tests movieParticing this form of consent testing will help Theo have some predictability when meeting strangers. Knowing that he wont be petted unless requested can be very empowering for dogs. When Theo meets strangers, please encourage your visitors to not do strong eye contact or talk to Theo at least initially. Let Theo do some freework or scatter feet for some minutes while he is adjusting to the presence of the new visitor. Communication:Teach Unprompted Attention/Auto Check-InAuto Check-In.pdfI am attaching a handout on how to do this but here is a short course on how to teach it with some demo videos: https://suzanneclothier.com/shop/autocheckin/This is very similar to the “Look at me” cue with the difference that it’s coming from the inside out where the dog is voluntarily offering attention. Puppy Politeness PokerPractice Puppy Politeness Poker by creating a list of reliable cues Theo will enthusiastically perform. Also create a list of real-life rewards that he will work for (meal time, access to a snuffle mat, opening a door, etc). Utilize those cues to give him explicit permission to access something he wants and change it up every time. This will teach Theo to slow down, listen to your request and work for what he wants. Teaches impulse control, attention and it polishes the communication between you and him. You can learn more about this concept by watching this free webinar: https://suzanneclothier.com/member_video_library/puppy-politeness-poker-webinar/Training:Teaching TouchTouch.pdfOnce Theo is able to give a “Touch” when cued in different situations, you can start using this cue during walks when you see that he spots an other dog and want to prevent him from reacting. You might need to use smellier rewards in the beginning. Practice WaitI don’t have a hand-out for wait but it sounds like Theo already knows this behavior and he just need to practice. Start small with baby steps. Take one step at a time to build distance. Once you are able to ask Theo to wait and go to a different room you can start working on duration. Once Theo is able to wait for a longer period of time you can throw in distractions like maybe closing a door and then opening it. The more you practice this, the easier it will be for him once you take it outside and introduce it in the stairs. Remember to start out with baby steps, even through Theo already has mastered “Wait” with distance, duration and distractions in-doors, you still want to start with just one step outdoors. Management:Teach 1-2-3 Treat! https://www.youtube.com/watch?v=ui6dWBDdDScI wasn’t able to find any great videos of this (I should make my own lol) but basically you condition your dog to expect a treat when they hear the word “three”. If you practice this in-doors with no distractions, you eventually will be abe to do this outdoors. When you see another dog coming then you can perform the pattern that Theo already knows and he will prefer to be next to you waiting for the treat instead of reacting to the other dog. Emergency “U” turnTeaching an Emergency U Turn Portland Dog Training/ Teach an Emergency U-Turn for your Reactive Dog/ Noble Woof Dog TrainingTeaching Theo an Emergency “U” turn will help you get out of situations where he is likely to react. By practicing this, you will be able to prevent him from practicing the undesirable behavior. Scatter FeedAfter Theo has had a lot of practice with the “Find it” cue, you can do a scatter feed during walks when you see there is a dog approaching on the opposite site of the street. Please be mindful that this would be done if you are sure that the other dog is not walking towards you or wont approach you. This is meant as a management technique to prevent him from reacting to an other dog and rehearse the undesirable behavior. TouchOnce Theo learns touch, you can also do this to basically step aside and call him over buy asking him to touch. This will allow you to position him an a way where he is not facing the other dog approaching and will buy you some time while the other dog finishes crossing. Follow up:I recommend booking an in-person appointment to work on counter conditioning and desensitizing Theo to other dogs during walks and address reactivity issues. Additionally we can work practicing polite greetings with strangers. To book your next in-person appointment please visit https://loyalpawrenting.pet/ → Book Now → First Let’s Meet → Step 2: In-Home Assessment.During this 1.5 hr visit, we will work on creating a customized training, enrichment and management plan to set up Theo for success. We will also perform a Relationship Assessment Test to determine behavior patterns in your relationship with Theo. If you are interested in self-paced training I recommend taking the following course by Victoria Stillwell: https://positively.com/learning/course/help-stop-reactivity ",Trainer Notes,3/4/2025,04:23 PM
396,Daily Observations,A0057949305,"3/5/2025 Noted behavior when placed in 135 and day after during AM feeding. When shown my hand through the cage, began barking and raising hackles at me. I placed his AM bowl in the cage. He stopped barking/growling once door was opened. I presented my hand again. He sniffed when alert ears, slight hackles raised but did not interact. May be BR. Will continue to monitor",Staff Observation,3/5/2025,10:37 AM
397,Intake,A0057801258,3/5/2025 easily handled,Staff Observation,3/5/2025,05:28 PM
398,Write Up,A0057918810,3/6/2025 Often do drive by treats in 200. 3/8 morning presented at the front of the kennel with loose body language and a wagging tail. 3/8 evening displayed the same behaviors . I knelt down and offered him to smell my hand to which he licked it. I opened the kennel door and he approached the opening and allowed  pets. No reaction to  petting his snout or ears. I was able to remove his collar without a problem. Will attempt to leash this week.Collar has been placed upfront in bin with kennel card attached.,Staff Observation,3/6/2025,03:22 AM
399,Intake,A0057969563,3/7/2025 easily handled while in intake and during exam,Staff Observation,3/7/2025,03:52 PM
400,Intake,A0057969626,3/7/2025 easily handled while in intake and during exam,Staff Observation,3/7/2025,05:51 PM
401,Request Level Change (Down),A0057324738,"3/8/2025 Animal Care Staff K.Carter request level change Ace is able to be leashed. Does not cower in kennel, approaches the front of the kennel with loose body language and a wagging tail. RE: 3/19/25 Cancelled Test, DOG left shelter SP",Leveling,3/8/2025,01:01 PM
402,Daily Observations,A0057885171,"3/9/2025 Behavior noted while in kennel. Approached Rami during rounds, she immediately came up to the door and began barking, standing on kennel door.",Staff Observation,3/9/2025,09:24 AM
403,Write Up,A0057656410,"3/9/2025 Very mouthy. Repeatedly went for my arms while leashing. Did not break skin, but did leave a bruise. She is very sweet once she calms down, but be cautious with the initial leashing. ",Staff Observation,3/9/2025,03:09 PM
404,Write Up,A0057639779,3/9/2025 Walked by Betty Lou's kennel and she had her head hanging down staring at the floor. When I approached she looked up and became loose and wiggly. You can tell she is not feeling good but keep putting her head and side up against the bars soliciting pets and did some big stretches with lots of tail wags. Very sweet. Definitely not feeling well at all. ,Staff Observation,3/9/2025,05:41 PM
405,Write Up,A0057656410,3/10/2025 Lauren mentioned Magenta as L3-JM when interacting with a DFTD. Leveling up to L3,Staff Observation,3/10/2025,10:48 AM
406,Daily Observations,A0057945065,"3/11/2025 Assisted clinic with checkup for Berney. Came out of the kennel easily, was leashed with no issues. Did tend to pull a little and also marked the entire way to the clinic. Was easily muzzled as well, no aggression but did try to step on the muzzle to remove it. After a few seconds he stopped. I was able to hold and restrain him for an ultrasound with the vet.Only other noticeable issues were his reactivity to a few dogs in clinic; he noticed dogs in shorelines and did approach the cages, raised his hackles and became stiff but disengaged without any other behaviors seen.",Staff Observation,3/11/2025,10:35 AM
407,Intake,A0057985936,3/11/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,3/11/2025,03:17 PM
408,Intake,A0057985953,3/11/2025 easily handled,Staff Observation,3/11/2025,03:45 PM
409,Focus Group,A0057918810,"3/11/2025 No issues leashing. Very anxious, pacing the yard. Initially skeptical of us, we both crouched down leaned against the fence, and he slowly approached. Go slow, he will quickly open up, playful and leaning in for pets.  Dog tested with Pringoso, needs to be neutered, but overall did well, approaching and sniffing, wanted to mount him at times. Recommending slow intros and neuter . No issues re-kenneling.                ",Staff Observation,3/11/2025,05:12 PM
410,General Information,A0057985953,3/12/2025 Observed Low growling and flagged tail when approached. Warmed up rather quickly after sitting next to kennel for a few.,Staff Observation,3/12/2025,09:16 AM
411,Intake,A0057999103,3/12/2025 easily handled,Staff Observation,3/12/2025,04:18 PM
412,Write Up,A0056311133,"3/12/2025 Submitting releveling request. Cancer was easy to leash, walk, and demonstrated no OA behaviors in the play yard. He was calm and kept all four on the floor. His arousal/anxiety increased a little when we went to go back inside, but suspect this was due to our not giving him much interaction/affection time. Once he received some affection, he went back in easily. Another volunteer note also mentioned a recent lack of OA.-VOL",In Shelter Volunteer Observation,3/12/2025,04:40 PM
413,Intake,A0058000573,3/13/2025 barks at the gate leash couldn't be removed charges gate while in intake partial during exam,Staff Observation,3/13/2025,04:52 PM
414,Intake,A0058006328,3/14/2025 a little jumpy go slow easily handled while in intake and during exam,Staff Observation,3/14/2025,02:28 PM
415,Intake,A0058006377,3/14/2025 a little nervous and unsure but warms up and is easily handled ,Staff Observation,3/14/2025,02:35 PM
416,Intake,A0055025441,3/14/2025 easily handled while in intake and during exam,Staff Observation,3/14/2025,06:05 PM
417,Daily Observations,A0057425727,"3/15/2025 Observed panting, pacing and poop painting. Req traz.",Staff Observation,3/15/2025,10:13 AM
418,Daily Observations,A0056311133,"3/15/2025 Cancer was very excited to see me as I came to get him for an assessment.  He had a hard time keeping all feet on the floor and kept jumping at the gate.  After a while he settled a little bit lower to the ground when I stooped down to put my hand near the bars but I had gloves on and he kept pulling at them.  When I could finally go in to leash him he was very JM.  I do not feel like he is ready to be leveled down at this point because of his over arousal.  What he needs is time each morning to run in the yard with a staff member and to get out some excess energy and then be assessed again in a couple of days.  He is friendly, but my whole body is scratched up just because it was hard to get him to focus today.  We will get him on a plan for exercise. -CW",Staff Observation,3/15/2025,12:35 PM
419,Daily Observations,A0056262476,"3/16/2025 Noted behavior on rounds. Routinely very quiet in run, secluded to corner or front of gate and laying down curled up. Does not stand when someone approaches, looks up without moving head much. Shut down.",Staff Observation,3/16/2025,09:36 AM
420,Intake,A0057500056,3/16/2025 easily handled. ,Staff Observation,3/16/2025,05:02 PM
421,Intake,A0058025499,3/17/2025 easily handled,Staff Observation,3/17/2025,01:06 PM
