,AnimalNumberDT,DogTest
124,A0058316435,"5/21/2025 good body language at gate, loose and excited. once in the yard was a bit apprehensive of dogs greeting her face to face; stiffened and slowed tail wag, loosened once there was no pressure. ok to co exist in the yard, no interest in playing. "
125,A0058328118,nan
126,A0058328283,"9/12/2025 very wiggly gate greetings, came in and immediately was wrestling with the other dogs. loved the pool! high energy and very tolerant."
127,A0058338338,"5/6/2025 entered yard seeming shy/unsure but was tolerant of forward greeting from lebowski. when greeting goliath she displayed very excited body language. starting in gentle/dainty, may graduate."
128,A0058340859,"5/20/2025 initially loose at gate but after a few gate greetings she stiffened and growled at goliath. entered the yard calmly and showed no interest in interacting with him. when he approached she slightly raised her lip and stiffened - continued doing so every time he approached. didn't have a female tester in the yard, would like to assess with female before determining eligibility. 

7/22/2025 no change in reaction to dogs when greeting nala and toronto. offered low growl and displayed stiff body when nala approached her but didn't escalate. didn't seem very comfortable around other dogs, very interested and playful with people. would like to continue efforts to introduce her to other dogs to help with socialization, could likely live with other dogs if given appropriate time to decompress, would not bring her to playgroup at this time due to insecurity/defensive aggression towards dogs. "
129,A0058344455,"5/1/2025 submissive behavior in the yard. showed much interest in greeting the other dogs, displaying excited body language, but made no attempts to play. disengaged well and was okay to interact or do his own thing. "
130,A0058352934,"4/30/2025 video uploaded to asana neutral at gate. slight hackle erection when entering yard, concern for being overwhelmed by both dogs greeting at the same time. stiff when approached but body language didn’t change much when she approached handlers. no play attempts and didn’t show much interest outside of some sniffing. would like to socialize her more before bringing to group - may not benefit from pg "
131,A0058360897,nan
132,A0058364488,"5/1/2025 video in asana.  handler oriented. excited body language with dogs in the yard, showed a lot of interest in sniffing the dogs but no attempts to play. may graduate if he opens up. "
133,A0058371891,"7/30/2025 very sweet, good greetings with foresight and dori. when approaching dori, she jumped off the bench on top of him and began growling. he immediately exposed his belly and stayed there until dori was removed. after she was removed, foresight approached him and he went back to being loose and wiggly. assessment was fairly short due to injuries but he did well "
134,A0058375747,"5/1/2025 assessment notes input by adayton

5/26/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, good gate greeting, came in very wiggly and ready to play. Lots of paw play with high energy  "
135,A0058385779,5/6/2025 displayed loose body language with oreo castellon and pringle. after greetings showed no interest and was okay to co exist in the yard. much more interested in handlers. 
136,A0058398208,"5/13/2025 doesn't appear bonded to stuffed cheesy bread - just roommates. fine to be in separate yards before assessment. she displayed more confident behavior in the yard than SCB did (may be beneficial for them to be kenneled separately). friendly, loose body language when greeting hootie. stiff initially once face to face but broke for play and ran around the yard side by side with hootie. "
137,A0058412684,"5/23/2025 confident entering yard, initiated play with hawaiian punch (they were besties - video in asana). may graduate to rough/rowdy. "
138,A0058416589,nan
139,A0058436120,"nan

5/26/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, stiff, slowly loosened up with small tail wags, accepted sniffs from hootie and very tolerant when she was invading his genitalia space. Hes very curious yet cautious. Start with smaller groups.  "
140,A0058446236,"6/3/2025 slight interest in playing, seemed a bit unsure about the dogs, got scared/overwhelmed quickly. would benefit from more socialization in a group setting"
141,A0058450905,"5/24/2025 remained stiff throughout assessment. stayed engaged with goliath but was kind of awkward/weird with interaction - stayed right on his neck, gave a few light nibbles every now and again, slowly jogged after him when he trotted off. goliath was able to keep distance by standing in the pool, and wanda appeared to be trying to jump on him but never committed. eventually goliath took off running and wanda chased after him. they briefly engaged in very direct mouthy play(???) but wanda was like a heat seeking missile and appeared to be more fixated on him than wanting to engage respectfully. would like to assess her with a dog that will correct before determining playgroup eligibility. "
142,A0058455126,"5/30/2025 sitting on the fence between push/pull and rough/rowdy play, but he is respectful of dogs that do not want to play and entices dogs to chase him. stayed in the yard for 30 minutes, met 4 other dogs and did very well adapting and staying even-tempered. when removing from the yard, he pancaked and tucked his tail. i had to pet him for a second and offer a bunch of support to get him to walk with me out of the yard. "
143,A0058463186,nan
144,A0058463804,"5/21/2025 offensive at the gate - full body hackles, intense staring, barking and baring teeth. did better greeting goliath but still displayed offensive behavior. opted to place muzzle, upon entrance to yard she explored the yard alone and showed no interest in engaging with the other dogs. tolerant of the dogs checking her out, more handler oriented than anything. adding to 1:1 socialization; undecided on her dog sociability, would like to assess with dogs that may be more likely to engage her directly

5/26/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, didnt like the high energy of the dog in the catchpin next to her so she barked and corrected that dog through the gate, she came in the yard and did great with hootie and goliath but they matched her lower energy level (wouldnt do well with high energy dogs immediately). prefered to roam and sniff the yard alone  "
145,A0058479830,"7/30/2025 stiff and fixated through gate. avadior was in the yard playing with crowe and foresight, as she became vocal missy zeroed in on her and began growling and pacing the catch pen. removed avadior and held onto missy's leash as she entered the yard. did well greeting foresight and crowe but as crowe attempted to play with foresight, missy jumped on top of him and began growling/snapping at him. would not respond to aversives, had to be pulled back by leash and she remained fixated on him. behavior did not start out offensive, appeared to be conflict driven."
146,A0058491085,"7/24/2025 very loose and bouncy. intolerant of birdy's vocality but did well playing with skittles who is also relatively vocal. alternated between play and rest. 

7/25/2025 Foster returned to get dog- dog test done."
147,A0058492824,"6/11/2025 when entering yard she crouched low to the ground and needed a ton of reassurance before she entered the yard. she met graham cracker who immediately attempted to engage in play and after a short period of being unsure she engaged and play rough with graham cracker and hootie. stayed out for a few additional assessments with dogs of lower energy and she did well reading the room and not forcing play with dogs who weren’t interested.

7/30/2025 retested due to behavior noted in playgroup; very fearful, avoidant of dogs and looking to escape. when tested today, she was very resistant to entering the yard and immediately sat against the fence. loosened when crowe and foresight approached her, displayed friendly body language, but couldn't be convinced to get away from the fence. due to fear, removed from the yard. once out of the yard i sat in the catch pen with her to offer reassurance and she met dori through the gate, displayed much more confident body language. would really benefit from confidence buddy"
148,A0058523873,"7/24/2025 entered yard calmly, more interested in handlers than dogs but greeted dogs in yard nicely. birdy is a vocal player and attempted to engage in play with umourraa beginning with growling in her face, though umourraa received it well she stiffened and became avoidant of birdy's attempts to engage. no break for play, but did well co existing. "
149,A0058528237,"5/30/2025 neutral at gate, slow broad tail wag. appropriate greeting with dogs in the yard, intolerant of pringle's attempts to mount but offered appropriate correction. removed pringle and brought in plankton who began running around as soon as he entered the yard, enticing demi to join. she engaged him once but sat down and observed plankton and hootie play from a distance. high energy play was too much, but she was very tolerant and great with self-regulation. "
150,A0058535722,"5/30/2025 offered play bow through gate, excited tail wag and stayed engaged with jensen as they interacted through gate. upon entrance to yard he immediately tried to mount jensen, who corrected him, and then engaged in play. stayed close to the other dogs in the yard throughout assessment. despite there being a female in the yard, he only showed interest in the two males in the yard. his play began to be overwhelming for jensen, and when corrected he disengaged and shook it off.dogs in the yard were more push/pull, he may fit in better with rowdy dogs but would like to see him in a p/p group first. "
151,A0058536166,"6/17/2025 tolerant of hootie's rough play, would semi-reciprocate, but was also okay to hang out with the dogs without direct interactions. became a bit overwhelmed when 3 dogs approached her at once, but did well handling and deescalating. "
152,A0058548468,nan
153,A0058575776,nan
154,A0058576129,"6/12/2025 neutral at gate, ignored the dogs as he entered the yard. daisy approached him to greet and then grumbus and son dog followed suit but horace paid no mind to any of them. suddenly he was very interested in daisy and began playing with her, was tolerant of daisy jumping on him. began showing social behavior with grumbus and son dog but didn't engage in play the way he did with daisy. tolerant of their presence, easy going behavior"
155,A0058579871,"nan

8/12/2025 Came into the yard cautious and shy. Very tolerant of skittles climbing him like a jungle gym. Gave a very good correction when another dog was in his face too long. Very tolerant and sweet."
156,A0058588407,"6/13/2025 great social behavior but continuously attempted to mount all dogs. rec nx before returning to group. could easily go into push/pull group without issue 

8/5/2025 Very awkward body language in the catchpin that we couldnt really read so we only kept Chili Special in the yard. He came into the yard very cautious and immediately ran to stand on the bench. Once chili approached him he immediately broke into play. Ran back and forth with Chili Special and became very animated. Continued to run around with Chili until he was finished in the yard."
157,A0058607230,"6/11/2025 tail tucked in catch pen. held onto his leash as he entered the yard. skittles was allowed to approach him, offering calm greeting before disengaging - allowing phineas to check him out without pressure. he showed no interest in engaging with the dogs in the yard and independently checked out the yard for a few minutes before being removed. tail remained tucked throughout assessment. "
158,A0058607804,"7/30/2025 loose greeting at gate, stiff upon entrance but tolerated foresight and crowe sniffing him. made continuous attempts to mount foresight despite handler intervention with multiple aversives - had strong reaction to aversive tools (spray bottle, shaker can) but wasn't ever fully deterred from mounting. needs more socialization but was not aggressive towards either boy"
159,A0058609148,"6/17/2025 muzzled out of precaution - loose body language during gate greeting - entered yard and maintained loose body as she greeted all the dogs (meeting 6 in total). due to loose behavior/no reactivity, muzzle was removed. displayed helicopter tail when engaging with plum pudding. she then engaged with cheddar and attempted to mount him but he ran away and she let it be. labeling as gentle/dainty for now - had a leaky butt so she was removed from the yard.. with longer interactions she may graduate to push/pull"
160,A0058612311,6/13/2025 super underweight. in catch pen displayed low quick tail wag. in yard he showed much more confidence and greeted nylani and hootie very well - displayed a higher broad tail wag. greeted incoming dogs very nicely and non-offensively. no interest in playing but maintained social behavior. 
161,A0058612477,"6/17/2025 stiff body, was tolerant of pringle attempting to mount her. she offered an appropriate correction when he attempted again, was able to shake it off and continue exploring the yard. hackles remained erect through assessment, never appeared fully comfortable with the dogs - leash was never dropped.she was given ample time to adjust to yard and dogs within the yard but she never loosened. was fine to co exist with the dogs... adding to cafe for now, may graduate. "
162,A0058613596,"nan

7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, overcorrects due to under socialization, stayed in the yard a long time with different size dogs as well as different playstyles   "
163,A0058616717,"7/22/2025 independently checked out yard, good greeting with skittles and frogly. excited tail wag with skittles, seemingly waiting for skittles to initiate play. meechie entered and was very high energy and barbie stiffened when he attempted to engage with her. handlers removed her from the yard before any direct reaction towards meechie, unsure of potential to escalate. starting in p/p"
164,A0058619294,"7/29/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:steerable, great gate greeting, came into the yard a little cautious but loosened up quickly, enjoyed wandering around the yard  "
165,A0058625088,nan
166,A0058627915,9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:came into the yard very hot and ready to play. once she was corrected by a calmer dog for being too high energy she immediately listened and began to only focus on the playful dogs. very tolerant and physical player. very energetic and fun  
167,A0058629547,"6/13/2025 very afraid of spray bottles - cowered away even passing by spray bottle that was on india's belt. greeted other dogs well but really paid no mind to them and checked out the yard independently. minnie began jumping on her and selune was very tolerant, only turning her head away to diffuse. after just a few minutes in the yard she began walking along the fence line and jumped up on the fence so she was removed. might have low threshold, may have been overwhelmed by energy of yard - most dogs in the yard were push/pull players. "
168,A0058635759,"nan

7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, came in cautious, initially overwhelmed but loosened up after a few minutes, enjoyed roaming the yard alone  "
169,A0058638071,"6/18/2025 haphazardly entered yard. showed the slightest bit of interest in plankton, mainly kept her distance from the dogs. as she slowly bumbled about in the yard chrome approached her, jumped on top of her and growled. received no reaction from chocolate shake - she remained neutral. fine to hang out with dogs of varying energy levels, but did not care to interact. 

7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, peacefully roamed the yard, gave a great correction when our h/g dogs annoyed her, prefers to be left alone  

8/12/2025 Very peacefully roamed the yard alone and gives great corrections if a dog annoys her. Can definitely coexist but really wants to be left alone."
170,A0058648841,"7/22/2025 very insecure. interested in greeting dogs but cowered when they engaged or continued to pursue after initial greeting. loose body and broad wag when greeting a dog that wasn't facing her - needs confidence boost. ok to go to g/d group, may graduate"
171,A0058652764,"nan

8/12/2025 Lips is a very physical player. He was nonstop running and having fun. He was very tolerant but quickly became annoying to our h/g dogs due to his high energy."
172,A0058659823,"6/18/2025 loose at gate, as she entered the yard hootie and pepsi were playing - chorizo displayed full body hackles and kept awkwardly trying (and failing) to jump on top of hootie. she was content to be the 3rd wheel with hootie and pepsi. tolerant of being body checked, rough play may not have been her speed but she wanted to play. "
173,A0058666623,"nan

8/12/2025 Came into the yard and spent a lot of time relieving himself. Once he was finished skittles walked past him and he got a little stiff. He gave a great correction, which she listened to and walked away. Doesn’t want dogs in his space but can coexist."
174,A0058673772,7/22/2025 Little Sally Walker was tested with Pippy and Skittles. She came in hot with a lot of high puppy energy. She was not steerable but had great body language. She is a true rough and rowdy puppy who just wants to plat! 
175,A0058679072,"7/22/2025 very insecure, kept distance from dogs and people in the yard. after some time she opened up and slowly trotted after skittles as she ran around the yard, but became avoidant when skittles attempted to engage her directly. would really benefit from going to playgroup often"
176,A0058682196,"8/18/2025 Lots of demand barking in the catchpin. Once he came in he was very quick to start playing. He’s a very weird player, he shows teeth the whole time and alligator chomps while barking for attention. But it’s all out of fun and he had a blast with Falconoid."
177,A0058706791,"7/23/2025 very high energy, immediately engaged in rough play with skittles (who did not like it) and was very bouncy in the yard. yard was lower energy so he didn't have a good play mate that matched his energy, but he did well disengaging when others showed no interest in playing. would really benefit from tons of playgroup time due to kennel stress"
178,A0058728393,"nan

8/5/2025 Very excited in the catchpin. Immediatley came in and started playing. Very friendly and playful so we kept her out the whole time."
179,A0058734729,"7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:not steerable, immediately came in and used the bathroom, lots of kisses and tail wags with all the dogs, super tolerant and fun  "
180,A0058735374,"nan

7/22/2025 Leshen was tested with Skittles and Pippy. He was frustrated in the pen waiting to get in, crying and jumping. He came in shy but warmed up quickly. He had awkward body language the whole time but really was enjoying his time running and chasing the other dogs."
181,A0058757108,nan
182,A0058762135,"nan

7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, awkward and reserved. start with the gentle/dainty but she will open up with confident dogs  "
183,A0058763780,"nan

8/10/2025 Really excited in the catchpin. Came into the yard very hot and excited. Very playful, friendly, and tolerant of all dogs."
184,A0058766779,nan
185,A0058771442,"nan

7/29/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:retest after nx  "
186,A0058778619,"nan

8/24/2025 Came into the yard with very loose wiggly body language. Offered a lot of play bows and romped around the yard with the other dogs."
187,A0058782548,"nan

7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:BQB was very over aroused (excitement) in the catchpin, once he entered the yard he was sexually motivated towards Omni and was stalking/hunting Foresight. He seems like he will be very dog friendly after being neutered. NTBN  "
188,A0058795005,"nan

8/10/2025 Came into the yard very excited and hot. Jumping and parkouring off all the dogs. Very physical but tolerant. Nonstop play"
189,A0058820818,nan
190,A0058822047,"nan

8/10/2025 Got a little overwhelmed when first entering the yard. Slowly loosened up. Gave great corrections if a dog was too much for her. She would do great with smaller more gentle dogs."
191,A0058831101,"7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, gives very good corrections, great coexisting in the yard with other dogs  "
192,A0058838236,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, seemed overwhelmed but otherwise tolerant   "
193,A0058841665,"nan

8/26/2025 demand barking out of excitement in the catchpin. came into the yard ready to play. was very friendly with all the dogs. just a big wiggly boy"
194,A0058847356,8/24/2025 Played very well with Falconoid and enjoyed running back and forth in the yard. He was sexually motivated but very easy to redirect.
195,A0058848637,"nan

8/26/2025 Frustrated in catchpin but steerable. Approaches the dogs with positive body language, then becomes stiff and borderline hunting or wants them to break their play then disengages from them. Seems like an undersocialized pup that doesn’t know how to dog "
196,A0058850516,"7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, very energetic, lots of kisses and played with all sizes of dogs. making a helper/greeter  "
197,A0058853857,"8/13/2025 very social, came in ready to play. very jumpy, puppy like play. very mouthy play with red boy, ruffetta, and danny phantom. all over the place with play. "
198,A0058855116,nan
199,A0058856656,"nan

7/21/2025 Primary Handler: amberSecondary Handler: emilyRunners:Scribe: Notes:very steerable, was shy in the catchpin so we held skittles while we stepped away from the gate so polly could come in at her pace, very sweet and tolerant once she entered (everytime skittles would sniff her butt she’d just sit down), roamed the yard with skittles, didnt want to play but was fine coexisting  "
200,A0058858235,nan
201,A0058867555,"nan

8/18/2025 Could coexist with other dogs but has no interest. He will allow other dogs to overtake him and push him around due to not correcting. Very gentle and submissive."
202,A0058870361,"7/30/2025 very fearful - the most fearful/avoidant of her siblings. followed in the shadows of sparrow as she played in the yard, engaging in polite on-again, off-again play. when all sisters were removed from the yard, starling showed more confidence (though it was very slow and she still appeared shut down) and began approaching me and licked my hand when it was offered to her. took about 10 minutes to get her comfortable being within close proximity to me, was still unable to leash her but she allowed me to carry her back to her kennel. "
203,A0058870368,"7/30/2025 very nervous to enter the yard. tested with foresight and dori. crawled around the yard for a few minutes before gaining confidence and engaging in play with foresight, not phased by dori correcting her when approached. her sisters were brought out and it was very obvious that sparrow is the most outgoing of the sisters. would recommend separating them to aid in building confidence "
204,A0058870423,nan
205,A0058872755,"8/18/2025 Came into the catchpin she was very fixated on the dogs. She was showing very dominant language over the person in the catchpin with her so we brought her in on leash. She was very scared, reserved, and shy. She was never offensive but we didn’t allow the dogs to bother due to how avoidant she was being of them."
206,A0058875618,9/1/2025 Jewel is an independent girly. Came in only interested in sniffing around the yard. Let other dogs approach her and had good body language. Showed no signs that she wanted to play but was fine coexisting in the yard.
207,A0058879473,"nan

8/18/2025 Roamed the yard and took some time to warm up. Initiated calm play with gentle dogs but would low growl as a correction to more high energy dogs."
208,A0058879483,"nan

7/21/2025 Primary Handler: amberSecondary Handler: emilyRunners:Scribe: steerable, nervous of humans near the catchpin, once in the yard she was immediately excited and did alot of play bows with skittles and bunny hops around the yard. Very excited to interact with other dogs.  "
209,A0058882547,"nan

8/26/2025 Very odd player. She would run up to a dogs, get stiff, do a play bow, and then run away and come back and bulldozed them over. Awkward player "
210,A0058884817,nan
211,A0058886517,8/12/2025 Came into the catchpin with positive body language. Came into the yard with a quickly wagging tail. Approached every dog with welcoming body language but never wanted to engage in play.
212,A0058896193,"nan

9/1/2025 Summer came in ready to play, had great gate greetings and was excited to meet new friends. She came in high energy and her playstyle is very unique! All she wanted to do was roll around. Douglas was into it and just kept chasing her, never saw her stand up. She body crawls and wraps herself in the leash because she is body rolling so much. She was very happy that Douglas was playing with her, even if she was on her back most of the time. "
213,A0058900098,"8/13/2025 entered the yard haphazardly, did not like dogs sniffing her butt; tucked her tail and would turn away from them. snapped at mackaboon when he got in her face - she appears head shy - may have ear sensitivity? tail remained tucked for majority of assessment, would loosened but when a dog got in her face she would overcorrect and tuck her tail again. fine to coexist with dogs who were respectful of her space, but every correction she offered was more extreme than the situation called for. see surrender/return note, may need a calm group of dogs to aid with building confidence. 

8/24/2025 Prudence seemed scared in the catchpin. We held the dogs in the yard back so she could come in at her own pace. Once she came into the yard she relieved herself for a long time (super holder). We let the other dogs in the yard go and she just remained avoidant. When dogs would get too close she would get hackles and seemed uncomfortable (she also did seem in pain) but never showed any offensive behavior. Did great coexisting with calmer dogs who left her alone."
214,A0058900557,"nan

9/12/2025 friendly gate greetings, stiff during interactions with dogs, remained tolerant, seems under socialized but might open up with more confident dogs. fun police!"
215,A0058901520,"8/13/2025 greeted all dogs nicely, was out in the yard for about 10 minutes and did well with 7 dogs. he then became focused on ruffetta and kept mounting her and was no longer steerable. high energy dogs may be too much for him, would recommend going to a group with calmer dogs only. "
216,A0058911318,nan
217,A0058916541,"8/14/2025 needs slow, respectful intro to dogs - attempted to intro him to skippy and he attempted to bite him when skippy came in to the yard ready to play. meeting ruffetta he did well and offered a few play bows but allowed her to control the interaction. she offered a correction which he took very well and backed off until she approached him again. introduced him to sly who had a milder approach and tico displayed a super wiggly butt and took turns play bowing with sly.  sly kept moving around tico to attempt to approach marissa but tico blocked him and wouldn't let him approach. "
218,A0058916889,nan
219,A0058920051,nan
220,A0058923804,nan
221,A0058923964,nan
222,A0058932264,"9/20/2025 volunteer could not bring into the yard as he was very reactive at the gate and was biting at the fence when dogs approached to greet him. needs muzzle for next assessmentRetested 9/20 and did surprisingly well. Showed some barrier reactivity when walking up but remained wiggly and tail wagging. Came in hot and rushed up to greet other dogs immediately, was so excited to play he was on his tippy toes and fully shaking his body trying to get the dogs going! when they broke for play he was ready to play, a true rough and rowdy player who has bursts of spaz like energy. Would really benefit in burning off his kennel stress energy in the yard. When grabbing his leash to have him exit the yard, it did ramp up his reactivity to other dogs. "
223,A0058936565,nan
224,A0058937435,"7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, came into the yard very hot and ready to play but then quickly became shy and cautious. Gets  overwhelmed very easily and retreats to the corner of the yard. Shes great with calmer/softer dogs with gentle playstyles.  "
225,A0058937667,"nan

8/10/2025 Came into the yard super friendly with good body language. Very excited, gave lots of kisses to Lucky, and was very tolerant of other dogs constantly licking his genitalia."
226,A0058940286,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Tolerant of dogs of all sizes, friendly, gives good corrections  "
227,A0058941410,"nan

9/1/2025 Lacy is a potential helper greeter! She did fantastic in the yard with all the dogs and listened to their cues well. She had friendly body language the whole time and was steerable. I think she could do well in any style yard as she appears to be adaptable. Initiated lots of play and was respectful when other dogs just weren't feeling it. "
228,A0058943849,8/5/2025 Was terrified walking to the yard. He had to be carried into the catchpin. Once he was in the catchpin and saw the dogs he went from being pancaked to standing with a small wagging tail. He came into the yard very shy but immediately got more confident when he was around another dog. He was very soft and gentle with the dogs but when it was time to leave the yard he had to be carried again. He would really benefit from a dog sibling.
229,A0058943866,nan
230,A0058948812,"nan

9/1/2025 Budget inn came in in her pjs. Very timid to enter the yard. Stood frozen and observed other dogs playing around her. When she approached other dogs her body was stiff, flagged tail, and drooling/lip licking. Under socialized, offered no corrections. "
231,A0058950523,"nan

8/31/2025 In the catchpin he was very high energy and excited. When he came into the yard he was a lot more mellow. He would get stiff and whale eyed when dogs came up to him and then would switch to a wagging tail and become seemingly excited. Almost ready to break for play but he instead would just disengage on his own and walk away."
232,A0058952168,"8/13/2025 entered the yard fairly stiff initially but after greeting all dogs displayed more neutral body language. independently checked out the yard and trotted around, was very tolerant of conbo mounting him until conbo would get off and walk away, then harkness would chase after him growling then stand over him. displayed same behavior with whopper jr. when dogs began running around the yard, he perked up and chased after them in the same manner he chased after conbo and whopper jr, but stopped short of growling or standing over any of the dogs. he was attacked by adam after accidentally running into him while chasing other dogs, received a few punctures to his neck, did not attempt to fight back. 

9/16/2025 retested harkness due to him being attacked in a prior playgroup. he was extremely terrified and avoidant of the other dogs. he was never offensive or defensive towards the other dogs, just extremely avoidant and didn't want to be around them."
233,A0058953982,"9/12/2025 quickly began playing upon entrance, alternated between playing and independently checking out the yard. "
234,A0058956070,"8/26/2025 very eager to play but was very insecure. would rile everyone up then cower down into the crowd of dogs. loved to play with milkbun, would do well coming out to yard 1st to adjust and gain confidence. "
235,A0058956679,8/5/2025 Could potentially become more gentle/dainty. Came into the yard friendly but cautious. Curious of Chili Special but shes very gentle and didnt want to play.
236,A0058961127,9/1/2025 Clover had great gate greetings and came in very friendly to all dogs in the yard. She seems confident and was willing to play with any of the dogs who approached her. She seems to be in heat so quickly removed her. 
237,A0058962398,"nan

9/12/2025 came in with her tail tucked and ignored all the dogs in the yard until they approached her then would run away or show teeth. stayed near the catch pen door asking to leave."
238,A0058964897,"nan

9/9/2025 came into the yard with positive body language, wiggly girl who was interested in other dogs and tolerant of the group surrounding her but never broke for play, handler oriented (loved Delaney). "
239,A0058970450,nan
240,A0058970456,nan
241,A0058970953,"9/12/2025 friendly at the gate greeting, immediately came in and began wrestling with the group. seemed to get overstimulated quickly and was not taking correction well."
242,A0058972613,nan
243,A0058978092,"9/9/2025 kept to herself, was shy/independent, no play at all. fine to coexist with the dogs in the yard "
244,A0058978213,nan
245,A0058978654,"nan

9/9/2025 He was stiff when approached, but was tolerant of dogs in his face, kept to self."
246,A0058985496,"9/12/2025 stiff, whale eye, and lip licking at gate. not steerable. handler offered support by placing muzzle and holding his leash upon entrance to yard. tolerant of dogs checking him out but was stiff and displayed flagged tail. muzzle removed handler still held onto leash. began drinking from pool and when another dog also drank water dex began growling and side eyeing them. coaxed him away from pool and moved to other side of the yard. as he was sniffing the mulch he was approached by another dog and began low growling (resource guarding??) ineligible for pg; while behavior wasn't extremely offensive, his intolerance of dogs being in close proximity and pattern of growling when sharing space raised concern of his overall dog friendliness. "
247,A0058988613,"nan

8/10/2025 Was very excited in the catch pin and came into the yard very fast and immediately ready to play. Very physical player with very high energy. 

nan"
248,A0058991756,"nan

9/1/2025 His kennel tech was walking him and they clearly have a connection because Mr. Wags watched him basically the whole time until he was out of sight. He came in with loose body language and was interested in playing tag with Douglas. Tolerant of dogs in his face and playing all around him. Wagging his tail the whole time, would break for more play if he was in the yard longer. "
249,A0058992977,"9/22/2025 very excited in catch pen, gave kisses to delaney and felix upon entry but then cowered down with a tucked tail and exposed his belly. when they walked away he wagged his tail and followed behind but would expose his belly when they attempted to interact with him. very insecure"
250,A0058993234,"nan

nan"
251,A0058996759,"nan

8/18/2025 Very fun but physical player, lots of play bows and paw play. Very tolerant of all other dogs and their different play styles. New helper/greeter"
252,A0058998237,"8/13/2025 entered yard with high tail and thoroughly greeted a few dogs, allowed dogs to check him out. while danny phantom was sniffing adam, whopper jr approached and began playing with danny. adam disengaged appropriately and gave no reaction when whopper jr and danny bumped into him as they ran past, but then harkness bumped into him and adam instantly went after him and attacked him, inciting a fairly large fight. after harkness was removed, adam then went after whopper jr - who instigated the fight further by being obnoxious and not understanding that adam wasn't trying to play with him. left punctures on both dogs, no deep wounds. not disqualifying from pg as he initially did well with the dogs in the yard, would like to determine if he prefers lower energy dogs, is intolerant of males, or not well socialized. needs muzzle for next playgroup. "
253,A0058998761,8/12/2025 Came into the yard confident and just began roaming and sniffing. Would sniff the dogs with a wagging tail when they approached but then he would walk away. Very tolerant and sweet with all the dogs but didn’t want to engage in play.
254,A0058999057,"8/13/2025 very nervous upon entrance. tail tucked, arched back, growled when other dogs got in her face, and snapped at danny when he attempted to mount her. appeared very nervous but offered appropriate corrections. "
255,A0058999518,"8/4/2025 handler oriented

9/1/2025 Gregory was hesitant in the catch pen, timid and lip licking in the yard. He seemed to be interested but unsure of how to interact. Very handler oriented. "
256,A0059005672,nan
257,A0059005850,8/12/2025 Shy of humans in the yard. Approached the other dogs out of curiosity but never broke for play. Under socialized and shy
258,A0059006004,8/24/2025 Came in cautious but curious. Lots of sniffing of the other dogs with tail wags. Just seems under socialized.
259,A0059006048,8/18/2025 Shy at first but once she warmed up she was playful and tolerant. We kept her out as a helper greeter and she did fantastic with dogs of all sizes and genders. New helper/greeter.
260,A0059007738,8/10/2025 Came into the yard very friendly and ready to play. A little aloof at times but takes correction very well from handlers as well as the other dogs. He enjoyed jumping over dogs like hurtles or crawling underneath them. Very goofy and would be a great helper/greeter.
261,A0059010208,"9/12/2025 immediately friendly with the dogs in the yard, engaged in high energy rough play, gave appropriate corrections when dogs were too much. very well socialized, would benefit from going to playgroup frequently"
262,A0059011050,"nan

8/24/2025 A lot of loose wiggly body language. Was doing great in the yard. He was attacked by Cojac and Dog Dog stood up for himself and didn’t back down but was very easily redirected and relaxed once we got Cojac out. He then continued to play and politely roam around the yard."
263,A0059023440,"nan

9/12/2025 wiggly in the pen, had great gate greetings with all the dogs, came in ready to play! all he wanted to do way run around, play bitey leg, paw play and body slam the other dogs. little mouthy but very puppy like, a fun player!"
264,A0059023830,nan
265,A0059025512,nan
266,A0059027650,8/24/2025 Zero came in very handler oriented. Had consistent positive body language and was very tolerant of the dogs. He was very social and friendly.
267,A0059028091,"9/12/2025 immediately playful, began playing very physically with dogs in the yard. mounted dogs a few times but could be easily deterred. "
268,A0059030332,8/18/2025 Very good gate greeting. Was very scared of the people in the yard. Needs a confident dog to help her come out of her shell. Very awkward.
