,AnimalNumberPG,PlayGroup
217,A0059348553,9/20/2025 see play style assessment; low energy group only. may not benefit from dog interaction
218,A0059349702,"9/20/2025 see play style assessment note; not great at reading cues, would do best hanging with other high energy, physical play dogs "
219,A0059354459,"nan

nan"
220,A0059356380,nan
221,A0059356897,9/20/2025 fearful/intol of direct interactions. bring to LP yard
222,A0059357256,"9/19/2025 can be snappy with high energy play, bring to GP yard only. "
223,A0059357420,nan
224,A0059358610,nan
225,A0059359249,9/21/2025 needs a calm energy small yard where she can gain more confidence. 
226,A0059359687,nan
227,A0059363072,nan
228,A0059364035,"9/20/2025 shy, needs more interactions with lower energy dogs. bring to LP group"
229,A0059364413,nan
230,A0059366639,9/20/2025 She needs a certain type of yard/player to be successful. 
231,A0059366693,nan
232,A0059367483,nan
233,A0059372411,nan
234,A0059375025,nan
235,A0059375372,9/20/2025 bring to LP yard only - intol. of high energy
236,A0059376296,9/20/2025 may not benefit from social interactions with dogs- bring to LP group to determine 
237,A0059378304,"9/21/2025 under socialized baby who doesn't want dogs in her face, acting out of fear."
238,A0059379214,"nan

nan"
239,A0059380817,nan
240,A0059381905,nan
241,A0059384043,9/23/2025 Extremely scared in the catchpin and in the yard. She roamed around the yard with her tail tucked most of the time. She was very tolerant of Delaney (dog) trying to play but had zero interest in engaging. 
242,A0059386155,nan
243,A0059387271,nan
244,A0059387378,"9/21/2025 see play style assessment; fearful of high energy dogs, would do best mingling with lower energy dogs."
245,A0059389207,nan
246,A0059389822,"nan

9/20/2025 Went up to the gate for each dog on his own, was great at reading their cues and helping dogs warm up."
247,A0059390901,nan
248,A0059390917,"nan

nan"
249,A0059395592,nan
250,A0059395598,nan
251,A0059395692,nan
252,A0059397231,nan
253,A0059397795,nan
254,A0059398528,nan
255,A0059398816,"nan

nan"
256,A0059399247,nan
257,A0059399650,nan
258,A0059399658,nan
259,A0059400937,nan
260,A0059401708,"nan

nan"
261,A0059401825,nan
262,A0059401847,nan
263,A0059402001,nan
264,A0059402306,nan
265,A0059403046,nan
266,A0059403140,nan
267,A0059403793,nan
268,A0059404161,nan
269,A0059404921,nan
270,A0059407023,"nan

nan"
271,A0059408681,nan
272,A0059410693,nan
273,A0059410700,nan
274,A0059411229,nan
275,A0059411344,nan
276,A0059411503,nan
277,A0059411817,nan
278,A0059412278,nan
279,A0059414016,nan
280,A0059419398,nan
281,A0059419404,nan
282,A0059420470,nan
283,A0059422669,nan
284,A0059422713,nan
285,A0059422717,nan
286,A0059427008,nan
287,A0059427308,"nan

nan"
288,A0059428714,nan
289,A0059431810,9/28/2025 
290,A0059433997,nan
291,A0059434428,nan
292,A0059437563,nan
293,A0059437600,nan
